"['001430', '세아베스틸', '41995', '-20050', '5.63', '3560', '7.1', '0.39', '4.67', '51205']"
"['001440', '대한전선', '259445', '-1205', '0.00', '0', '-12.6', '3.19', '19.74', '378']"
"['001450', '현대해상', '129074', '37550', '6.45', '5824', '15.6', '1.08', '', '34717']"
"['001460', 'BYC', '19', '-260000', '35.07', '7414', '1.6', '0.55', '12.63', '475434']"
"['001465', 'BYC우', '39', '-135000', '0.00', '0', '', '0.00', '', '0']"
"['001470', '삼부토건', '59837', '-5930', '0.00', '0', '-14.5', '0.47', '', '12582']"
"['001500', '현대차증권', '6277', '-9640', '5.63', '1711', '6.0', '0.33', '', '28815']"
"['001510', 'SK증권', '1781886', '+1025', '17.08', '60', '4.4', '0.76', '', '1349']"
"['001515', 'SK증권우', '107338', '-3485', '0.00', '0', '', '0.00', '', '0']"
"['001520', '동양', '132201', '+1920', '24.62', '78', '1.9', '0.54', '12.94', '3555']"
"['001525', '동양우', '1863', '+9840', '0.00', '0', '', '0.00', '', '0']"
"['001527', '동양2우B', '705', '-10800', '0.00', '0', '', '0.00', '', '0']"
"['001529', '동양3우B', '6', '-29350', '0.00', '0', '', '0.00', '', '0']"
"['001530', '동일방직', '156224', '+70200', '0.00', '0', '-1.3', '0.34', '9.35', '204370']"
"['001550', '조비', '187324', '-34650', '150.00', '231', '2.5', '3.77', '80.42', '9202']"
"['001560', '제일연마', '656', '+6320', '11.84', '534', '5.6', '0.87', '5.89', '7264']"
"['001570', '금양', '9220', '+2280', '4.41', '517', '41.2', '1.71', '8.48', '1333']"
"['001620', '동국실업', '170515', '-1085', '0.00', '0', '-19.0', '0.33', '', '3298']"
"['001630', '종근당홀딩스', '1054', '+69000', '7.07', '9766', '12.5', '0.85', '4.37', '81622']"
"['001680', '대상', '91918', '-27400', '18.68', '1467', '6.1', '1.13', '8.24', '24181']"
"['001685', '대상우', '405', '13400', '0.00', '0', '', '0.00', '', '0']"
"['001720', '신영증권', '1036', '-57800', '8.76', '6601', '6.7', '0.88', '', '65617']"
"['001725', '신영증권우', '1514', '52100', '0.00', '0', '', '0.00', '', '0']"
"['001740', 'SK네트웍스', '695081', '-4480', '32.94', '136', '1.4', '0.47', '7.66', '9546']"
"['001745', 'SK네트웍스우', '144', '+55300', '0.00', '0', '', '0.00', '', '0']"
"['001750', '한양증권', '736', '+7340', '19.84', '370', '1.8', '0.36', '', '20290']"
"['001755', '한양증권우', '14', '+9090', '0.00', '0', '', '0.00', '', '0']"
"['001770', '신화실업', '473', '+20750', '0.00', '0', '-5.5', '0.68', '', '30320']"
"['001780', '알루코', '588439', '-3815', '22.18', '172', '6.3', '1.38', '9.16', '2774']"
"['001790', '대한제당', '3405', '-23200', '18.86', '1230', '2.4', '0.49', '15.03', '46923']"
