"['032580', '피델릭스', '124591', '-2155', '89.79', '24', '2.0', '1.82', '11.68', '1184']"
"['032620', '유비케어', '437547', '+4800', '53.33', '90', '7.7', '4.16', '25.79', '1155']"
"['032680', '소프트센', '364020', '-1995', '0.00', '0', '-2.4', '1.80', '67.64', '1106']"
"['032685', '소프트센우', '1741', '-24150', '0.00', '0', '', '0.00', '', '0']"
"['032750', '삼진', '7878', '+7520', '16.31', '461', '4.4', '0.71', '3.95', '10543']"
"['032790', '엠젠플러스', '215745', '12950', '0.00', '0', '-13.1', '8.20', '140.59', '1580']"
"['032800', '판타지오', '444857', '+617', '0.00', '0', '-24.1', '0.94', '', '654']"
"['032820', '우리기술', '4594727', '+1920', '46.83', '41', '9.5', '4.27', '25.33', '450']"
"['032850', '비트컴퓨터', '717867', '-7260', '33.30', '218', '8.7', '2.85', '22.40', '2550']"
"['032860', 'GMR 머티리얼즈', '1900113', '+941', '235.25', '4', '1.1', '2.33', '88.30', '404']"
"['032940', '원익', '108116', '+6870', '6.71', '1024', '10.8', '0.68', '94.40', '10050']"
"['032960', '동일기연', '630', '-11050', '6.08', '1818', '11.9', '1.07', '7.46', '10327']"
"['032980', '바이온', '472570', '+2565', '0.00', '0', '-23.2', '2.59', '', '990']"
"['033050', '제이엠아이', '2992693', '+1555', '97.19', '16', '1.1', '1.11', '11.12', '1406']"
"['033100', '제룡전기', '350890', '+10000', '0.00', '0', '-1.1', '3.27', '91.03', '3060']"
"['033110', '이디', '703429', '-855', '0.00', '0', '-262.7', '2.27', '', '377']"
"['033130', '디지틀조선', '75776', '+2005', '14.12', '142', '7.9', '1.07', '5.14', '1866']"
"['033160', '엠케이전자', '47587', '8650', '3.99', '2168', '16.3', '0.63', '2.22', '13738']"
"['033170', '시그네틱스', '96063', '+1205', '63.42', '19', '1.0', '0.62', '3.92', '1956']"
"['033200', '모아텍', '457', '-4525', '0.00', '0', '1.4', '0.88', '7.71', '5125']"
"['033230', '인성정보', '39456', '4080', '0.00', '0', '-9.7', '1.83', '33.44', '2231']"
