001620,동국실업,201666,-1080,0.00,0,-19.0,0.33,,3298,6020,-367,-411,576
001630,종근당홀딩스,1568,+68900,7.06,9766,12.5,0.84,4.36,81622,4507,435,674,3452
001680,대상,112461,-27450,18.71,1467,6.1,1.14,8.25,24181,29688,967,518,9511
001685,대상우,555,-13300,0.00,0,,0.00,,0,,,,182
001720,신영증권,1079,-57800,8.76,6601,6.7,0.88,,65617,2393,1166,790,5425
001725,신영증권우,1531,+52200,0.00,0,,0.00,,0,,,,3682
001740,SK네트웍스,787311,-4480,32.94,136,1.4,0.47,7.66,9546,152023,1428,346,11119
001745,SK네트웍스우,149,+55300,0.00,0,,0.00,,0,,,,63
001750,한양증권,2171,+7350,19.86,370,1.8,0.36,,20290,461,61,49,936
001755,한양증권우,15,-8930,0.00,0,,0.00,,0,,,,47
001770,신화실업,783,+20800,0.00,0,-5.5,0.69,,30320,613,-18,-21,253
001780,알루코,741830,-3805,22.12,172,6.3,1.37,9.15,2774,4617,208,129,2836
001790,대한제당,3989,+23450,19.07,1230,2.4,0.50,15.10,46923,12745,165,108,2073
001795,대한제당우,863,+13800,0.00,0,,0.00,,0,,,,89
001799,대한제당3우B,1871,+25300,0.00,0,,0.00,,0,,,,33
001800,오리온홀딩스,63560,20100,0.51,39092,85.9,0.68,16.84,29498,1127,49,14864,12591
001820,삼화콘덴서,440958,-83000,54.89,1512,25.7,12.66,31.62,6555,1993,220,155,8628
001880,삼호,429,14200,3.34,4256,22.2,0.67,-0.07,21250,8586,838,646,2156
001940,KISCO홀딩스,11512,12050,14.29,843,1.7,0.29,-3.54,41227,12213,974,-72,2226
002000,한국유리,7424,-53900,4.13,13042,21.7,0.81,6.28,66487,3454,174,1394,5433
002005,한국유리우,5231,-41600,0.00,0,,0.00,,0,,,,189
002020,코오롱,24543,+37250,5.04,7396,14.2,0.64,12.09,58235,43930,1068,1096,4493
002025,코오롱우,1236,+21600,0.00,0,,0.00,,0,,,,233
002030,아세아,3118,-125500,5.45,23008,6.6,0.40,2.02,310339,11978,641,735,2750
002070,남영비비안,3595,-6920,41.69,166,0.8,0.36,20.84,18980,2094,5,16,475
002100,경농,435692,-11950,21.04,568,5.8,1.46,23.72,8157,2065,84,101,2592
002140,고려산업,98973,-2850,13.70,208,5.9,0.80,11.66,3559,1745,59,51,711
002150,도화엔지니어링,172301,-7640,21.70,352,5.1,1.09,11.35,6992,3990,165,117,2576
002170,삼양통상,2764,-41000,4.93,8310,9.6,0.45,0.91,90524,1706,302,249,1230
002200,수출포장,2900,+23100,0.00,0,-2.4,0.43,24.81,54230,2444,-69,-53,924
002210,동성제약,14958352,+33700,0.00,0,-0.3,12.98,306.21,2596,824,10,-2,8343
002220,한일철강,1048,+23500,4.40,5343,6.2,0.30,12.72,79035,1558,45,94,525
002240,고려제강,10772,-26400,22.28,1185,1.7,0.39,6.02,68324,15505,388,225,5280
002250,알보젠코리아,444,-27100,29.81,909,5.6,1.84,10.66,14758,1901,258,104,3213
002270,롯데푸드,4326,+845000,11.29,74827,11.8,1.44,9.99,587907,18186,662,951,9564
