439,010780,아이에스동서,65657,35700,5.62,6355,19.9,1.03,4.28,34537,18330.0,3245.0,1950.0,11006
699,071840,롯데하이마트,34559,-71100,11.31,6288,7.6,0.83,7.71,85810,40993.0,2075.0,1484.0,16785
856,134380,미원화학,1033,-43400,6.93,6265,15.8,1.14,4.8,38134,1511.0,136.0,136.0,948
422,009970,영원무역홀딩스,1153,54500,8.83,6169,8.2,0.84,2.13,65108,23848.0,2103.0,1176.0,7431
508,015230,대창단조,1619,44600,7.27,6136,7.7,0.54,2.21,81948,2576.0,189.0,127.0,892
669,055550,신한지주,748970,41800,6.83,6116,9.1,0.6,,69210,117987.0,38287.0,29481.0,198215
488,013580,계룡건설,64549,-24650,4.03,6112,16.7,0.65,4.05,37841,22408.0,1150.0,565.0,2201
698,071320,지역난방공사,3377,-64200,10.64,6035,3.9,0.41,10.52,158025,18344.0,1198.0,699.0,7434
255,004700,조광피혁,1321,-34450,5.74,6005,10.2,1.02,7.6,33938,1743.0,246.0,220.0,2291
314,005930,삼성전자,6443602,-46150,7.7,5997,21.0,1.64,3.06,28126,2395754.0,536450.0,421867.0,2962518
634,035510,신세계 I&C,6406,111000,18.52,5993,6.0,1.15,3.93,96712,3202.0,155.0,99.0,1909
220,003920,남양유업,746,-632000,106.72,5922,0.6,0.63,3.91,1009374,11670.0,51.0,50.0,4550
89,001450,현대해상,160281,37650,6.46,5824,15.6,1.08,,34717,128624.0,6308.0,4644.0,33659
480,012630,HDC,1608404,24550,4.26,5763,14.4,0.63,0.88,38991,53587.0,6461.0,4137.0,7720
747,090430,아모레퍼시픽,113600,-269500,47.19,5711,9.8,4.48,18.56,60186,51238.0,5964.0,3980.0,157546
54,000880,한화,198909,30750,5.47,5619,9.1,0.66,3.4,46382,504044.0,21589.0,13109.0,23050
576,025000,KPX케미칼,790,64700,11.67,5543,6.2,0.72,4.03,89789,7037.0,300.0,271.0,3131
961,185750,종근당,18124,104500,19.12,5465,14.2,2.56,10.92,40781,8844.0,778.0,537.0,10324
224,004020,현대제철,172340,52800,9.68,5455,4.4,0.42,6.15,125261,191660.0,13676.0,7275.0,70459
402,009240,한샘,96329,-87600,16.18,5413,18.3,4.06,12.79,21565,20625.0,1405.0,959.0,20616
493,014280,금강공업,2285,23750,4.4,5400,9.0,0.43,2.82,54792,6132.0,460.0,266.0,1153
847,128940,한미약품,52473,461000,85.74,5377,8.8,7.37,47.08,62534,9166.0,822.0,690.0,52488
798,103140,풍산,139851,-32400,6.03,5375,11.9,0.69,5.35,46640,29450.0,2411.0,1507.0,9080
135,002220,한일철강,1048,23500,4.4,5343,6.2,0.3,12.72,79035,1558.0,45.0,94.0,525
607,031440,신세계푸드,14726,118500,22.26,5324,6.7,1.46,8.05,81360,12075.0,298.0,206.0,4589
41,000640,동아쏘시오홀딩스,13816,100500,18.92,5311,3.6,0.68,10.85,148700,6903.0,534.0,325.0,6169
313,005880,대한해운,77324,-23250,4.48,5186,20.0,0.86,10.54,27104,15607.0,1009.0,1092.0,5679
40,000590,CS홀딩스,3928,-69000,13.43,5138,2.7,0.37,-2.88,187283,1210.0,170.0,143.0,797
623,034220,LG디스플레이,3252042,-21450,4.26,5038,13.2,0.53,1.74,40170,277902.0,24616.0,19371.0,76751
420,009830,한화케미칼,956487,19600,3.9,5021,14.6,0.54,5.41,36250,93418.0,7564.0,8345.0,31970
498,014680,한솔케미칼,34711,-83900,17.15,4893,18.0,2.95,9.95,28396,5216.0,792.0,581.0,9477
5,000070,삼양홀딩스,11720,-101500,20.84,4871,2.8,0.66,6.5,154881,23963.0,988.0,672.0,8693
369,007700,F&F,105089,95000,19.54,4863,28.7,4.94,13.31,19218,5605.0,981.0,749.0,14630
249,004490,세방전지,39395,35350,7.3,4843,7.8,0.56,2.79,63549,11111.0,698.0,667.0,4949
933,161390,한국타이어,198132,44900,9.28,4837,9.7,0.87,5.08,51331,68129.0,7934.0,6065.0,55620
834,120110,코오롱인더,110720,-65400,13.54,4830,6.5,0.85,9.05,76824,46070.0,1980.0,1227.0,16838
222,003960,사조대림,40371,-22400,4.65,4813,14.5,0.63,4.38,35596,9874.0,554.0,423.0,1335
578,025540,한국단자,6832,-43600,9.12,4783,7.7,0.67,2.66,64864,7444.0,661.0,498.0,4541
299,005610,SPC삼립,12906,126000,26.89,4685,13.3,3.88,14.09,32469,20655.0,547.0,382.0,10873
331,006280,녹십자,29997,186500,39.98,4665,5.2,2.1,18.27,89010,12879.0,903.0,567.0,21795
319,005960,동부건설,39503,-9740,2.13,4572,34.6,0.68,1.83,14425,7015.0,256.0,963.0,2032
248,004450,삼화왕관,110,46800,10.36,4516,6.4,0.75,5.05,62303,1049.0,110.0,84.0,1008
510,015350,부산가스,656,-36050,8.01,4501,8.0,0.68,3.36,52811,9352.0,378.0,450.0,3966
559,021240,코웨이,91759,91500,20.41,4484,30.1,6.97,10.26,13128,25168.0,4727.0,3256.0,67527
511,015360,예스코홀딩스,289,39700,8.86,4481,3.6,0.37,4.54,106531,11152.0,244.0,271.0,2382
503,014830,유니드,11577,50100,11.25,4454,6.2,0.68,6.41,73283,7624.0,671.0,411.0,4454
